# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.372482776641845703e+01 6.288021057844161987e-02 3.814818859100341797e-01 7.325740158557891846e-02 1.587992477416992188e+01 6.288021057844161987e-02 3.814818859100341797e-01 7.325740158557891846e-02 8.435671925544738770e-01
1.000000000000000000e+03 6.561072077602148056e-03 2.486798353493213654e-02 4.479293525218963623e-02 1.716520264744758606e-02 9.093836881220340729e-03 2.486798353493213654e-02 4.479293525218963623e-02 1.716520264744758606e-02 3.840181231498718262e-01
2.000000000000000000e+03 2.875127131119370461e-03 5.336646456271409988e-03 1.185552589595317841e-02 6.605475209653377533e-03 3.826270112767815590e-03 5.336646456271409988e-03 1.185552589595317841e-02 6.605475209653377533e-03 3.507020175457000732e-01
3.000000000000000000e+03 5.066245794296264648e-04 9.874727111309766769e-04 1.604155637323856354e-03 2.109379274770617485e-03 1.849953783676028252e-03 9.874727111309766769e-04 1.604155637323856354e-03 2.109379274770617485e-03 2.047999501228332520e-01
4.000000000000000000e+03 1.695390383247286081e-04 1.751508534653112292e-04 3.928588921553455293e-05 2.277926832903176546e-04 1.065561664290726185e-03 1.751508534653112292e-04 3.928588921553455293e-05 2.277926832903176546e-04 6.667929887771606445e-02
5.000000000000000000e+03 1.286636543227359653e-04 7.648288737982511520e-05 5.657018391502788290e-06 3.765265137189999223e-05 6.328030140139162540e-04 7.648288737982511520e-05 5.657018391502788290e-06 3.765265137189999223e-05 2.708574011921882629e-02
6.000000000000000000e+03 7.636471127625554800e-05 3.550026667653582990e-05 2.403431608399841934e-06 1.202421390189556405e-05 4.311987431719899178e-04 3.550026667653582990e-05 2.403431608399841934e-06 1.202421390189556405e-05 1.506200060248374939e-02
7.000000000000000000e+03 6.070722520234994590e-05 1.815941141103394330e-05 1.278981585528526921e-06 5.240171049081254750e-06 3.745259309653192759e-04 1.815941141103394330e-05 1.278981585528526921e-06 5.240171049081254750e-06 9.367526508867740631e-03
8.000000000000000000e+03 2.857691375538706779e-03 3.306840881123207510e-05 2.938822217402048409e-05 3.289130836492404342e-05 2.896190620958805084e-03 3.306840881123207510e-05 2.938822217402048409e-05 3.289130836492404342e-05 1.301684509962797165e-02
9.000000000000000000e+03 1.179480896098539233e-04 7.786785317875910550e-06 1.637887521610537078e-06 2.386557525824173354e-06 4.001622437499463558e-04 7.786785317875910550e-06 1.637887521610537078e-06 2.386557525824173354e-06 4.608216695487499237e-03
